RT,RT_log,current_task,CurvCond,SizeCond,accuracy,condition,participant,block
515.573033707865,6.23033514297671,JudgeSize,Bo,Bi,0.983333333333333,01-SizeTask-BigBoxy,6,4
525.779069767442,6.25176652677201,JudgeSize,Cu,Bi,0.933333333333333,02-SizeTask-BigCurvy,6,1
525.779069767442,6.25176652677201,JudgeSize,Cu,Bi,0.933333333333333,02-SizeTask-BigCurvy,6,4
542.817073170732,6.28331538944476,JudgeSize,Bo,Sm,0.977777777777778,03-SizeTask-SmallBoxy,6,1
542.817073170732,6.28331538944476,JudgeSize,Bo,Sm,0.977777777777778,03-SizeTask-SmallBoxy,6,4
535.619047619048,6.27091661766647,JudgeSize,Cu,Sm,1,04-SizeTask-SmallCurvy,6,1
535.619047619048,6.27091661766647,JudgeSize,Cu,Sm,1,04-SizeTask-SmallCurvy,6,4
473.290697674419,6.14933863962872,JudgeCurviness,Bo,Bi,0.994444444444444,05-CurvTask-BigBoxy,6,2
473.290697674419,6.14933863962872,JudgeCurviness,Bo,Bi,0.994444444444444,05-CurvTask-BigBoxy,6,3
508.142857142857,6.22121975076533,JudgeCurviness,Cu,Bi,0.977777777777778,06-CurvTask-BigCurvy,6,2
508.142857142857,6.22121975076533,JudgeCurviness,Cu,Bi,0.977777777777778,06-CurvTask-BigCurvy,6,3
531.929411764706,6.25922578136191,JudgeCurviness,Bo,Sm,0.972222222222222,07-CurvTask-SmallBoxy,6,2
531.929411764706,6.25922578136191,JudgeCurviness,Bo,Sm,0.972222222222222,07-CurvTask-SmallBoxy,6,3
493.352272727273,6.18694426410689,JudgeCurviness,Cu,Sm,0.983333333333333,08-CurvTask-SmallCurvy,6,2
493.352272727273,6.18694426410689,JudgeCurviness,Cu,Sm,0.983333333333333,08-CurvTask-SmallCurvy,6,3
515.638554216867,6.23113136776925,JudgeSize,Bo,Bi,0.994444444444444,01-SizeTask-BigBoxy,7,2
515.638554216867,6.23113136776925,JudgeSize,Bo,Bi,0.994444444444444,01-SizeTask-BigBoxy,7,3
557.0375,6.30265967131587,JudgeSize,Cu,Bi,0.966666666666667,02-SizeTask-BigCurvy,7,2
557.0375,6.30265967131587,JudgeSize,Cu,Bi,0.966666666666667,02-SizeTask-BigCurvy,7,3
612.325581395349,6.39732449165324,JudgeSize,Bo,Sm,0.966666666666667,03-SizeTask-SmallBoxy,7,2
612.325581395349,6.39732449165324,JudgeSize,Bo,Sm,0.966666666666667,03-SizeTask-SmallBoxy,7,3
546.046511627907,6.28821293245948,JudgeSize,Cu,Sm,0.988888888888889,04-SizeTask-SmallCurvy,7,2
546.046511627907,6.28821293245948,JudgeSize,Cu,Sm,0.988888888888889,04-SizeTask-SmallCurvy,7,3
524.693181818182,6.2424186553272,JudgeCurviness,Bo,Bi,0.977777777777778,05-CurvTask-BigBoxy,7,1
524.693181818182,6.2424186553272,JudgeCurviness,Bo,Bi,0.977777777777778,05-CurvTask-BigBoxy,7,4
552.728395061728,6.30055770684173,JudgeCurviness,Cu,Bi,0.961111111111111,06-CurvTask-BigCurvy,7,1
552.728395061728,6.30055770684173,JudgeCurviness,Cu,Bi,0.961111111111111,06-CurvTask-BigCurvy,7,4
585.469879518072,6.33691318999361,JudgeCurviness,Bo,Sm,0.977777777777778,07-CurvTask-SmallBoxy,7,1
585.469879518072,6.33691318999361,JudgeCurviness,Bo,Sm,0.977777777777778,07-CurvTask-SmallBoxy,7,4
519.6,6.24037784769598,JudgeCurviness,Cu,Sm,0.994444444444444,08-CurvTask-SmallCurvy,7,1
519.6,6.24037784769598,JudgeCurviness,Cu,Sm,0.994444444444444,08-CurvTask-SmallCurvy,7,4
632.391891891892,6.43913067244641,JudgeSize,Bo,Bi,0.927777777777778,01-SizeTask-BigBoxy,8,2
632.391891891892,6.43913067244641,JudgeSize,Bo,Bi,0.927777777777778,01-SizeTask-BigBoxy,8,3
666.939024390244,6.47636832050424,JudgeSize,Cu,Bi,0.916666666666667,02-SizeTask-BigCurvy,8,2
666.939024390244,6.47636832050424,JudgeSize,Cu,Bi,0.916666666666667,02-SizeTask-BigCurvy,8,3
638.459459459459,6.44783893043898,JudgeSize,Bo,Sm,0.944444444444444,03-SizeTask-SmallBoxy,8,2
638.459459459459,6.44783893043898,JudgeSize,Bo,Sm,0.944444444444444,03-SizeTask-SmallBoxy,8,3
708.492537313433,6.54456646323363,JudgeSize,Cu,Sm,0.905555555555556,04-SizeTask-SmallCurvy,8,2
708.492537313433,6.54456646323363,JudgeSize,Cu,Sm,0.905555555555556,04-SizeTask-SmallCurvy,8,3
576.736111111111,6.32475585588213,JudgeCurviness,Bo,Bi,0.95,05-CurvTask-BigBoxy,8,1
576.736111111111,6.32475585588213,JudgeCurviness,Bo,Bi,0.95,05-CurvTask-BigBoxy,8,4
613.718309859155,6.40604551102308,JudgeCurviness,Cu,Bi,0.966666666666667,06-CurvTask-BigCurvy,8,1
613.718309859155,6.40604551102308,JudgeCurviness,Cu,Bi,0.966666666666667,06-CurvTask-BigCurvy,8,4
578.118421052632,6.34338562437755,JudgeCurviness,Bo,Sm,0.955555555555556,07-CurvTask-SmallBoxy,8,1
578.118421052632,6.34338562437755,JudgeCurviness,Bo,Sm,0.955555555555556,07-CurvTask-SmallBoxy,8,4
568.205479452055,6.32350780957063,JudgeCurviness,Cu,Sm,0.894444444444444,08-CurvTask-SmallCurvy,8,1
568.205479452055,6.32350780957063,JudgeCurviness,Cu,Sm,0.894444444444444,08-CurvTask-SmallCurvy,8,4
539.873417721519,6.27320958797874,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,9,1
539.873417721519,6.27320958797874,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,9,4
567.2,6.32305955844505,JudgeSize,Cu,Bi,0.9,02-SizeTask-BigCurvy,9,1
567.2,6.32305955844505,JudgeSize,Cu,Bi,0.9,02-SizeTask-BigCurvy,9,4
605.625,6.38570390701984,JudgeSize,Bo,Sm,0.927777777777778,03-SizeTask-SmallBoxy,9,1
605.625,6.38570390701984,JudgeSize,Bo,Sm,0.927777777777778,03-SizeTask-SmallBoxy,9,4
561.521739130435,6.32262513658159,JudgeSize,Cu,Sm,0.972222222222222,04-SizeTask-SmallCurvy,9,1
561.521739130435,6.32262513658159,JudgeSize,Cu,Sm,0.972222222222222,04-SizeTask-SmallCurvy,9,4
518.744186046512,6.22641187272521,JudgeCurviness,Bo,Bi,0.966666666666667,05-CurvTask-BigBoxy,9,2
518.744186046512,6.22641187272521,JudgeCurviness,Bo,Bi,0.966666666666667,05-CurvTask-BigBoxy,9,3
550.191176470588,6.29114609886975,JudgeCurviness,Cu,Bi,0.916666666666667,06-CurvTask-BigCurvy,9,2
550.191176470588,6.29114609886975,JudgeCurviness,Cu,Bi,0.916666666666667,06-CurvTask-BigCurvy,9,3
559.5,6.301615815558,JudgeCurviness,Bo,Sm,0.861111111111111,07-CurvTask-SmallBoxy,9,2
559.5,6.301615815558,JudgeCurviness,Bo,Sm,0.861111111111111,07-CurvTask-SmallBoxy,9,3
479.73417721519,6.16170125269309,JudgeCurviness,Cu,Sm,0.927777777777778,08-CurvTask-SmallCurvy,9,2
479.73417721519,6.16170125269309,JudgeCurviness,Cu,Sm,0.927777777777778,08-CurvTask-SmallCurvy,9,3
572.692307692308,6.32750986961018,JudgeSize,Bo,Bi,0.95,01-SizeTask-BigBoxy,10,1
572.692307692308,6.32750986961018,JudgeSize,Bo,Bi,0.95,01-SizeTask-BigBoxy,10,4
603.089743589744,6.36964407946095,JudgeSize,Cu,Bi,0.944444444444444,02-SizeTask-BigCurvy,10,1
603.089743589744,6.36964407946095,JudgeSize,Cu,Bi,0.944444444444444,02-SizeTask-BigCurvy,10,4
610.924050632911,6.39216496754468,JudgeSize,Bo,Sm,0.988888888888889,03-SizeTask-SmallBoxy,10,1
610.924050632911,6.39216496754468,JudgeSize,Bo,Sm,0.988888888888889,03-SizeTask-SmallBoxy,10,4
