RT,RT_log,condition,participant,current_task,CurvCond,SizeCond,SizeCurv,congruent,accuracy
657.609756097561,6.45301860986826,04-SizeTask-SmallCurvy,10,JudgeSize,Cu,Sm,Sm Cu,0,0.983333333333333
456.794871794872,6.10345871048231,05-CurvTask-BigBoxy,10,JudgeCurviness,Bo,Bi,Bi Bo,0,0.966666666666667
494.594594594595,6.18434511689908,06-CurvTask-BigCurvy,10,JudgeCurviness,Cu,Bi,Bi Cu,0,0.944444444444444
465.190476190476,6.12674390682755,07-CurvTask-SmallBoxy,10,JudgeCurviness,Bo,Sm,Sm Bo,0,0.966666666666667
476.658227848101,6.15042561835527,08-CurvTask-SmallCurvy,10,JudgeCurviness,Cu,Sm,Sm Cu,0,0.966666666666667
647.585365853659,6.46105596114002,01-SizeTask-BigBoxy,11,JudgeSize,Bo,Bi,Bi Bo,1,0.977777777777778
707.428571428571,6.5369161058932,02-SizeTask-BigCurvy,11,JudgeSize,Cu,Bi,Bi Cu,1,0.927777777777778
724.623376623377,6.5596402654195,03-SizeTask-SmallBoxy,11,JudgeSize,Bo,Sm,Sm Bo,1,0.983333333333333
686.421686746988,6.50511044327631,04-SizeTask-SmallCurvy,11,JudgeSize,Cu,Sm,Sm Cu,1,0.972222222222222
550.592592592593,6.304813487946,05-CurvTask-BigBoxy,11,JudgeCurviness,Bo,Bi,Bi Bo,1,0.983333333333333
648.92,6.4511958342333,06-CurvTask-BigCurvy,11,JudgeCurviness,Cu,Bi,Bi Cu,1,0.944444444444444
570.582278481013,6.33528508867961,07-CurvTask-SmallBoxy,11,JudgeCurviness,Bo,Sm,Sm Bo,1,0.933333333333333
574.192771084337,6.33721217226789,08-CurvTask-SmallCurvy,11,JudgeCurviness,Cu,Sm,Sm Cu,1,0.961111111111111
675.036585365854,6.47535122218951,01-SizeTask-BigBoxy,12,JudgeSize,Bo,Bi,Bi Bo,0,0.994444444444444
673.316455696203,6.48862851635143,02-SizeTask-BigCurvy,12,JudgeSize,Cu,Bi,Bi Cu,0,0.988888888888889
